meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
60,95.396,100.1658,105.17409,110.4327945,115.9544342,121.7521559,127.8397637,134.2317519,140.9433395,147.9905065
61,84.245,88.45725,92.8801125,97.52411813,102.400324,107.5203402,112.8963572,118.5411751,124.4682339,130.6916456
62,97.763,102.65115,107.7837075,113.1728929,118.8315375,124.7731144,131.0117701,137.5623586,144.4404766,151.6625004
63,117.283,123.14715,129.3045075,135.7697329,142.5582195,149.6861305,157.170437,165.0289589,173.2804068,181.9444272
64,137.068,143.9214,151.11747,158.6733435,166.6070107,174.9373612,183.6842293,192.8684407,202.5118628,212.6374559
65,187.828,197.2194,207.08037,217.4343885,228.3061079,239.7214133,251.707484,264.2928582,277.5075011,291.3828762
66,255.293,268.05765,281.4605325,295.5335591,310.3102371,325.8257489,342.1170364,359.2228882,377.1840326,396.0432342
67,28.536,29.9628,31.46094,33.033987,34.68568635,36.41997067,38.2409692,40.15301766,42.16066854,44.26870197
68,234.155,245.86275,258.1558875,271.0636819,284.616866,298.8477093,313.7900947,329.4795995,345.9535794,363.2512584
69,164.486,172.7103,181.345815,190.4131058,199.933761,209.9304491,220.4269715,231.4483201,243.0207361,255.1717729
70,7.845,8.23725,8.6491125,9.081568125,9.535646531,10.01242886,10.5130503,11.03870282,11.59063796,12.17016985
71,48.142,50.5491,53.076555,55.73038275,58.51690189,61.44274698,64.51488433,67.74062855,71.12765997,74.68404297
72,19.693,20.67765,21.7115325,22.79710913,23.93696458,25.13381281,26.39050345,27.71002862,29.09553005,30.55030656
73,34.229,35.94045,37.7374725,39.62434613,41.60556343,43.6858416,45.87013368,48.16364037,50.57182239,53.1004135
74,35.114,36.8697,38.713185,40.64884425,42.68128646,44.81535079,47.05611832,49.40892424,51.87937045,54.47333898
75,40.075,42.07875,44.1826875,46.39182188,48.71141297,51.14698362,53.7043328,56.38954944,59.20902691,62.16947826
76,73.345,77.01225,80.8628625,84.90600563,89.15130591,93.6088712,98.28931476,103.2037805,108.3639695,113.782168
77,78.612,82.5426,86.66973,91.0032165,95.55337733,100.3310462,105.3475985,110.6149784,116.1457273,121.9530137
78,123.043,129.19515,135.6549075,142.4376529,149.5595355,157.0375123,164.8893879,173.1338573,181.7905502,190.8800777
79,233.813,245.50365,257.7788325,270.6677741,284.2011628,298.411221,313.331782,328.9983711,345.4482897,362.7207042
80,25.688,26.9724,28.32102,29.737071,31.22392455,32.78512078,34.42437682,36.14559566,37.95287544,39.85051921
81,224.759,235.99695,247.7967975,260.1866374,273.1959692,286.8557677,301.1985561,316.2584839,332.0714081,348.6749785
82,177.375,186.24375,195.5559375,205.3337344,215.6004211,226.3804421,237.6994643,249.5844375,262.0636593,275.1668423
83,126.622,132.9531,139.600755,146.5807928,153.9098324,161.605324,169.6855902,178.1698697,187.0783632,196.4322814
84,111.965,117.56325,123.4414125,129.6134831,136.0941573,142.8988651,150.0438084,157.5459988,165.4232988,173.6944637
85,95.283,100.04715,105.0495075,110.3019829,115.817082,121.6079361,127.6883329,134.0727496,140.7763871,147.8152064
86,108.568,113.9964,119.69622,125.681031,131.9650826,138.5633367,145.4915035,152.7660787,160.4043826,168.4246018
87,131.224,137.7852,144.67446,151.908183,159.5035922,167.4787718,175.8527103,184.6453459,193.8776132,203.5714938
88,166.367,174.68535,183.4196175,192.5905984,202.2201283,212.3311347,222.9476914,234.095076,245.7998298,258.0898213
89,181.851,190.94355,200.4907275,210.5152639,221.0410271,232.0930784,243.6977323,255.882619,268.6767499,282.1105874
90,244.149,256.35645,269.1742725,282.6329861,296.7646354,311.6028672,327.1830106,343.5421611,360.7192691,378.7552326
91,282.063,296.16615,310.9744575,326.5231804,342.8493394,359.9918064,377.9913967,396.8909665,416.7355148,437.5722906
92,246.001,258.30105,271.2161025,284.7769076,299.015753,313.9665407,329.6648677,346.1481111,363.4555166,381.6282925
93,14.814,15.5547,16.332435,17.14905675,18.00650959,18.90683507,19.85217682,20.84478566,21.88702494,22.98137619
94,73.883,77.57715,81.4560075,85.52880788,89.80524827,94.29551068,99.01028622,103.9608005,109.1588406,114.6167826
95,41.944,44.0412,46.24326,48.555423,50.98319415,53.53235386,56.20897155,59.01942013,61.97039113,65.06891069
96,20.323,21.33915,22.4061075,23.52641288,24.70273352,25.93787019,27.2347637,28.59650189,30.02632698,31.52764333
97,25.879,27.17295,28.5315975,29.95817738,31.45608624,33.02889056,34.68033508,36.41435184,38.23506943,40.1468229
98,40.476,42.4998,44.62479,46.8560295,49.19883098,51.65877252,54.24171115,56.95379671,59.80148654,62.79156087
99,44.772,47.0106,49.36113,51.8291865,54.42064583,57.14167812,59.99876202,62.99870012,66.14863513,69.45606689
