meta,low,base,high
hour,typical_year,typical_year,typical_year
841,38.64525,51.527,64.40875
842,41.4945,55.326,69.1575
843,36.05325,48.071,60.08875
844,37.332,49.776,62.22
845,53.98275,71.977,89.97125
846,100.6485,134.198,167.7475
847,163.014,217.352,271.69
848,178.992,238.656,298.32
849,188.86425,251.819,314.77375
850,112.52475,150.033,187.54125
851,89.45025,119.267,149.08375
852,80.1645,106.886,133.6075
853,75.09075,100.121,125.15125
854,94.518,126.024,157.53
855,88.81425,118.419,148.02375
856,112.578,150.104,187.63
857,150.54675,200.729,250.91125
858,175.58475,234.113,292.64125
859,20.57775,27.437,34.29625
860,183.71925,244.959,306.19875
861,108.5655,144.754,180.9425
862,53.5545,71.406,89.2575
863,23.649,31.532,39.415
864,11.63025,15.507,19.38375
865,19.22475,25.633,32.04125
866,19.41075,25.881,32.35125
867,33.77925,45.039,56.29875
868,45.429,60.572,75.715
869,56.02575,74.701,93.37625
870,102.771,137.028,171.285
871,16.19025,21.587,26.98375
872,204.3915,272.522,340.6525
873,169.2735,225.698,282.1225
874,9.6135,12.818,16.0225
875,84.759,113.012,141.265
876,69.18225,92.243,115.30375
877,79.662,106.216,132.77
878,8.079,10.772,13.465
879,96.19425,128.259,160.32375
880,126.22425,168.299,210.37375
881,153.11175,204.149,255.18625
882,198.7515,265.002,331.2525
883,207.7545,277.006,346.2575
884,17.08125,22.775,28.46875
885,9.60375,12.805,16.00625
886,44.06625,58.755,73.44375
887,22.26525,29.687,37.10875
