meta;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1;scenario_1
hour;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035
227;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259;52,259
228;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623;42,623
229;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487;43,487
230;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327;41,327
231;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127;48,127
232;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167;55,167
233;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387;72,387
234;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067;80,067
235;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965;69,965
236;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829;51,829
237;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709;51,709
238;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
239;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
240;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
241;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941;18,941
242;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
243;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101;17,101
244;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381;41,381
245;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165;34,165
246;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465;51,465
247;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629;63,629
248;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661;52,661
