meta,scenario_1,scenario_1,scenario_1,scenario_1,scenario_1
hour,2026,2027,2028,2029,2030
,Solar,Solar,Solar,Solar,Solar
685,0.74181,0.74181,0.74181,0.74181,0.74181
686,0.64723,0.64723,0.64723,0.64723,0.64723
687,0.49686,0.49686,0.49686,0.49686,0.49686
688,0.27423,0.27423,0.27423,0.27423,0.27423
689,0.07148,0.07148,0.07148,0.07148,0.07148
690,0,0,0,0,0
691,0,0,0,0,0
692,0,0,0,0,0
693,0,0,0,0,0
694,0,0,0,0,0
695,0,0,0,0,0
696,0,0,0,0,0
697,0,0,0,0,0
698,0,0,0,0,0
699,0,0,0,0,0
700,0,0,0,0,0
701,0,0,0,0,0
702,0,0,0,0,0
703,0.17392,0.17392,0.17392,0.17392,0.17392
704,0.40913,0.40913,0.40913,0.40913,0.40913
705,0.58526,0.58526,0.58526,0.58526,0.58526
706,0.72488,0.72488,0.72488,0.72488,0.72488
707,0.78615,0.78615,0.78615,0.78615,0.78615
708,0.78082,0.78082,0.78082,0.78082,0.78082
709,0.74061,0.74061,0.74061,0.74061,0.74061
710,0.64079,0.64079,0.64079,0.64079,0.64079
711,0.49439,0.49439,0.49439,0.49439,0.49439
712,0.27179,0.27179,0.27179,0.27179,0.27179
713,0.07683,0.07683,0.07683,0.07683,0.07683
714,0,0,0,0,0
715,0,0,0,0,0
716,0,0,0,0,0
717,0,0,0,0,0
718,0,0,0,0,0
719,0,0,0,0,0
720,0,0,0,0,0
721,0,0,0,0,0
