meta,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,low_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,base_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand,high_demand
49,42.895,43.967375,45.06655938,46.19322336,47.34805394,48.53175529,49.74504917,50.9886754,52.26339229,53.5699771,42.895,45.03975,46.16574375,47.31988734,48.50288453,49.71545664,50.95834306,52.23230163,53.53810917,54.8765619,42.895,46.112125,47.26492813,48.44655133,49.65771511,50.89915799,52.17163694,53.47592786,54.81282606,56.18314671
50,43.327,44.410175,45.52042938,46.65844011,47.82490111,49.02052364,50.24603673,51.50218765,52.78974234,54.1094859,43.327,45.49335,46.63068375,47.79645084,48.99136211,50.21614617,51.47154982,52.75833857,54.07729703,55.42922946,43.327,46.576525,47.74093813,48.93446158,50.15782312,51.4117687,52.69706291,54.01448949,55.36485172,56.74897302
51,54.088,55.4402,56.826205,58.24686013,59.70303163,61.19560742,62.7254976,64.29363504,65.90097592,67.54850032,54.088,56.7924,58.21221,59.66751525,61.15920313,62.68818321,64.25538779,65.86177248,67.5083168,69.19602472,54.088,58.1446,59.598215,61.08817038,62.61537463,64.180759,65.78527798,67.42990992,69.11565767,70.84354911
52,59.358,60.84195,62.36299875,63.92207372,65.52012556,67.1581287,68.83708192,70.55800897,72.32195919,74.13000817,59.358,62.3259,63.8840475,65.48114869,67.1181774,68.79613184,70.51603514,72.27893601,74.08590941,75.93805715,59.358,63.80985,65.40509625,67.04022366,68.71622925,70.43413498,72.19498835,73.99986306,75.84985964,77.74610613
53,103.242,105.82305,108.4686263,111.1803419,113.9598505,116.8088467,119.7290679,122.7222946,125.7903519,128.9351107,103.242,108.4041,111.1142025,113.8920576,116.739359,119.657843,122.6492891,125.7155213,128.8584093,132.0798695,103.242,110.98515,113.7597788,116.6037732,119.5188675,122.5068392,125.5695102,128.708748,131.9264667,135.2246283
54,148.695,152.412375,156.2226844,160.1282515,164.1314578,168.2347442,172.4406128,176.7516281,181.1704188,185.6996793,148.695,156.12975,160.0329938,164.0338186,168.1346641,172.3380307,176.6464814,181.0626435,185.5892095,190.2289398,148.695,159.847125,163.8433031,167.9393857,172.1378703,176.4413171,180.85235,185.3736588,190.0080003,194.7582003
55,202.229,207.284725,212.4668431,217.7785142,223.2229771,228.8035515,234.5236403,240.3867313,246.3963996,252.5563095,202.229,212.34045,217.6489613,223.0901853,228.6674399,234.3841259,240.2437291,246.2498223,252.4060678,258.7162195,202.229,217.396175,222.8310794,228.4018564,234.1119028,239.9647003,245.9638178,252.1129133,258.4157361,264.8761295
56,286.691,293.858275,301.2047319,308.7348502,316.4532214,324.364552,332.4736658,340.7855074,349.3051451,358.0377737,286.691,301.02555,308.5511888,316.2649685,324.1715927,332.2758825,340.5827796,349.097349,357.8247828,366.7704023,286.691,308.192825,315.8976456,323.7950868,331.8899639,340.187213,348.6918934,357.4091907,366.3444205,375.503031
57,232.383,238.192575,244.1473894,250.2510741,256.507351,262.9200347,269.4930356,276.2303615,283.1361205,290.2145235,232.383,244.00215,250.1022038,256.3547588,262.7636278,269.3327185,276.0660365,282.9676874,290.0418796,297.2929266,232.383,249.811725,256.0570181,262.4584436,269.0199047,275.7454023,282.6390373,289.7050133,296.9476386,304.3713296
58,164.312,168.4198,172.630295,176.9460524,181.3697037,185.9039463,190.5515449,195.3153336,200.1982169,205.2031723,164.312,172.5276,176.84079,181.2618098,185.793355,190.4381889,195.1991436,200.0791222,205.0811002,210.2081277,164.312,176.6354,181.051285,185.5775671,190.2170063,194.9724315,199.8467422,204.8429108,209.9639836,215.2130832
