meta,scenario_1
hour,typical_year
,Solar
1139,0.784940303
1140,0.830675806
1141,0.764108652
1142,0.684369465
1143,0.618410926
1144,0.45847792
1145,0.237975674
1146,0.022939781
1147,0
1148,0
1149,0
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,0
1159,0.084003829
1160,0.319957071
1161,0.396629798
1162,0.590864379
1163,0.783121546
1164,0.84292198
1165,0.778392917
1166,0.753763925
1167,0.627091505
1168,0.462765049
1169,0.243965925
1170,0.022914951
1171,0
1172,0
1173,0
1174,0
1175,0
1176,0
1177,0
1178,0
1179,0
1180,0
1181,0
1182,0
1183,0.082480351
1184,0.263755323
1185,0.490191149
1186,0.700525278
1187,0.809998274
1188,0.856353143
1189,0.831983158
1190,0.756969309
1191,0.644031406
1192,0.469315924
1193,0.247392915
1194,0.022898737
1195,0
1196,0
1197,0
1198,0
1199,0
1200,0
1201,0
1202,0
1203,0
1204,0
1205,0
1206,0
1207,0.086972222
1208,0.322220476
1209,0.545123734
1210,0.709248874
1211,0.80610137
1212,0.843328483
1213,0.828991967
1214,0.771159762
1215,0.6315282
1216,0.426639741
1217,0.237117867
1218,0.02096102
1219,0
1220,0
1221,0
1222,0
1223,0
1224,0
1225,0
1226,0
1227,0
1228,0
1229,0
1230,0
1231,0.066535956
1232,0.295980227
1233,0.517013849
1234,0.680451968
1235,0.786386741
1236,0.831810534
1237,0.807698449
1238,0.720102012
1239,0.59078269
1240,0.444655763
1241,0.223909452
1242,0.018079648
1243,0
1244,0
1245,0
1246,0
1247,0
1248,0
1249,0
1250,0
1251,0
1252,0
1253,0
1254,0
1255,0.091028905
1256,0.302917495
1257,0.527813872
1258,0.689358047
1259,0.801032027
1260,0.849763723
1261,0.831842987
1262,0.763554544
1263,0.624286088
1264,0.445081012
1265,0.241865341
1266,0.023701405
1267,0
1268,0
1269,0
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,0
1278,0
1279,0.084799022
1280,0.320165907
1281,0.543299684
1282,0.705944056
1283,0.807954981
1284,0.853419266
1285,0.842814477
1286,0.770086622
1287,0.641545333
1288,0.457936473
1289,0.242253971
1290,0.02806795
1291,0
1292,0
1293,0
1294,0
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0.086400381
1304,0.323473308
1305,0.544563128
1306,0.70534339
1307,0.810644704
1308,0.85608385
1309,0.841495739
1310,0.768869695
1311,0.641270857
1312,0.458295486
1313,0.241400708
1314,0.028214619
1315,0
1316,0
1317,0
1318,0
1319,0
1320,0
1321,0
1322,0
1323,0
1324,0
1325,0
1326,0
1327,0.086282531
1328,0.319320739
1329,0.535426604
1330,0.663583633
1331,0.765672927
1332,0.850703891
1333,0.829057345
1334,0.750807984
1335,0.614610941
1336,0.458620691
1337,0.242623014
1338,0.028237497
1339,0
1340,0
1341,0
1342,0
1343,0
1344,0
1345,0
1346,0
1347,0
1348,0
1349,0
1350,0
1351,0.087643628
1352,0.322891805
1353,0.539683637
1354,0.683494343
1355,0.802843301
1356,0.848043005
1357,0.833694575
1358,0.765256486
1359,0.636509327
1360,0.452630595
1361,0.239659663
1362,0.028902217
1363,0
1364,0
1365,0
1366,0
1367,0
1368,0
1369,0
1370,0
1371,0
1372,0
1373,0
1374,0
1375,0.080768111
1376,0.303724794
1377,0.528219535
1378,0.690281448
1379,0.796958887
1380,0.837088393
1381,0.833751241
1382,0.755466632
1383,0.617415168
1384,0.42069596
1385,0.169356253
1386,0.024537519
1387,0
1388,0
1389,0
1390,0
1391,0
1392,0
1393,0
1394,0
1395,0
1396,0
1397,0
1398,0
1399,0.090462947
1400,0.324256393
1401,0.548897489
1402,0.575835406
1403,0.798240187
1404,0.862468183
1405,0.844678892
1406,0.766282579
1407,0.646595077
1408,0.457175065
1409,0.25147306
