period,year,scenario,load_demand,res_generation_total,generator_generation,battery_charge,battery_discharge,battery_soc,lost_load,grid_import,grid_export,grid_import_delivered,grid_export_delivered
16,2026,scenario_1,131.548,236.0675299230951,0.0,104.51952992309509,0.0,2031.2374916562057,0.0,0.0,0.0,0.0,0.0
16,2027,scenario_1,138.1254,236.0675299230951,0.0,97.94212992309508,0.0,2037.4860216562058,0.0,0.0,0.0,0.0,0.0
16,2028,scenario_1,145.03167,236.0675299230951,0.0,91.0358599230951,0.0,2044.0469781562058,0.0,0.0,0.0,0.0,0.0
16,2029,scenario_1,152.2832535,236.0675299230951,0.0,83.7842764230951,0.0,2050.935982481206,0.0,0.0,0.0,0.0,0.0
16,2030,scenario_1,159.8974162,236.0675299230951,0.0,76.17011372309508,0.0,2058.169437046206,0.0,0.0,0.0,0.0,0.0
16,2031,scenario_1,167.892287,301.2886359446636,0.0,133.3963489446636,0.0,2592.4309597598785,0.0,0.0,0.0,0.0,0.0
16,2032,scenario_1,176.2869013,301.2886359446636,0.0,125.00173464466359,0.0,2600.405843344878,0.0,0.0,0.0,0.0,0.0
16,2033,scenario_1,185.1012464,301.2886359446636,0.0,116.1873895446636,0.0,2608.779471189878,0.0,0.0,0.0,0.0,0.0
16,2034,scenario_1,194.3563087,301.2886359446636,0.0,106.9323272446636,0.0,2617.5717803748785,0.0,0.0,0.0,0.0,0.0
16,2035,scenario_1,204.0741242,301.2886359446636,0.0,97.21451174466361,0.0,2626.8037050998782,0.0,0.0,0.0,0.0,0.0
17,2026,scenario_1,177.208,22.012142414279023,0.0,0.0,155.19585758572097,2130.531045083146,0.0,0.0,0.0,0.0,0.0
17,2027,scenario_1,186.0684,22.012142414279023,0.0,0.0,164.05625758572097,2130.531045083146,0.0,0.0,0.0,0.0,0.0
17,2028,scenario_1,195.37182,22.012142414279023,0.0,0.0,173.359677585721,2130.531045083146,0.0,0.0,0.0,0.0,0.0
17,2029,scenario_1,205.140411,22.012142414279023,81.91428047309768,0.0,101.2139881126233,2130.531045083146,0.0,0.0,0.0,0.0,0.0
17,2030,scenario_1,215.3974316,22.012142414279023,58.44335279221758,0.0,134.9419363935034,2130.531045083146,0.0,0.0,0.0,0.0,0.0
17,2031,scenario_1,226.1673031,28.093691514366014,0.0,0.0,198.07361158563398,2719.1574912573087,0.0,0.0,0.0,0.0,0.0
17,2032,scenario_1,237.4756683,28.093691514366014,0.0,0.0,209.38197678563398,2719.1574912573087,0.0,0.0,0.0,0.0,0.0
17,2033,scenario_1,249.3494517,28.093691514366014,22.631405392839298,0.0,198.6243547927947,2719.1574912573087,0.0,0.0,0.0,0.0,0.0
17,2034,scenario_1,261.8169243,28.093691514366014,22.631405392839298,0.0,211.09182739279467,2719.1574912573087,0.0,0.0,0.0,0.0,0.0
17,2035,scenario_1,274.9077705,28.093691514366014,22.631405392839298,0.0,224.18267359279469,2719.1574912573087,0.0,0.0,0.0,0.0,0.0
18,2026,scenario_1,274.324,0.0,0.0,0.0,274.324,1968.8686934313534,0.0,0.0,0.0,0.0,0.0
18,2027,scenario_1,288.0402,0.0,0.0,0.0,288.0402,1959.6391100980202,0.0,0.0,0.0,0.0,0.0
18,2028,scenario_1,302.44221,0.0,81.91428047309768,0.0,220.5279295269023,1949.9480475980201,0.0,0.0,0.0,0.0,0.0
18,2029,scenario_1,317.5643205,0.0,0.0,0.0,317.5643205,2025.0998074658303,0.0,0.0,0.0,0.0,0.0
18,2030,scenario_1,333.4425365,0.0,81.91428047309768,0.0,251.52825602690234,1989.9665280065801,0.0,0.0,0.0,0.0,0.0
18,2031,scenario_1,350.1146634,0.0,0.0,0.0,350.1146634,2512.8308125222734,0.0,0.0,0.0,0.0,0.0
18,2032,scenario_1,367.6203965,0.0,0.0,0.0,367.6203965,2501.05126543894,0.0,0.0,0.0,0.0,0.0
18,2033,scenario_1,386.0014163,0.0,22.631405392839298,0.0,363.3700109071607,2512.257121681481,0.0,0.0,0.0,0.0,0.0
18,2034,scenario_1,405.3014872,0.0,65.71782340770642,0.0,339.5836637922936,2499.2701710564806,0.0,0.0,0.0,0.0,0.0
18,2035,scenario_1,425.5665615,0.0,101.70134929244796,0.0,323.865212207552,2485.633872931481,0.0,0.0,0.0,0.0,0.0
19,2026,scenario_1,294.662,0.0,0.0,0.0,294.662,1683.1145267646866,0.0,0.0,0.0,0.0,0.0
19,2027,scenario_1,309.3951,0.0,0.0,0.0,309.3951,1659.59723509802,0.0,0.0,0.0,0.0,0.0
19,2028,scenario_1,324.864855,0.0,0.0,0.0,324.864855,1720.2314543408302,0.0,0.0,0.0,0.0,0.0
19,2029,scenario_1,341.1080978,0.0,0.0,0.0,341.1080978,1694.3036402783302,0.0,0.0,0.0,0.0,0.0
19,2030,scenario_1,358.1635026,0.0,0.0,0.0,358.1635026,1727.9579279785569,0.0,0.0,0.0,0.0,0.0
19,2031,scenario_1,376.0716778,0.0,0.0,0.0,376.0716778,2148.1280381472734,0.0,0.0,0.0,0.0,0.0
19,2032,scenario_1,394.8752617,0.0,19.463595937260116,0.0,375.4116657627399,2118.113352418107,0.0,0.0,0.0,0.0,0.0
19,2033,scenario_1,414.6190247,0.0,0.0,0.0,414.6190247,2133.7466936531882,0.0,0.0,0.0,0.0,0.0
19,2034,scenario_1,435.349976,0.0,22.631405392839298,0.0,412.7185706071607,2145.5371879395084,0.0,0.0,0.0,0.0,0.0
19,2035,scenario_1,457.1174748,0.0,22.631405392839298,0.0,434.4860694071607,2148.2742768819476,0.0,0.0,0.0,0.0,0.0
20,2026,scenario_1,258.803,0.0,0.0,0.0,258.803,1376.1749434313533,0.0,0.0,0.0,0.0,0.0
20,2027,scenario_1,271.74315,0.0,0.0,0.0,271.74315,1337.3106725980201,0.0,0.0,0.0,0.0,0.0
20,2028,scenario_1,285.3303075,0.0,0.0,0.0,285.3303075,1381.83056371583,0.0,0.0,0.0,0.0,0.0
20,2029,scenario_1,299.5968229,0.0,0.0,0.0,299.5968229,1338.9827050699969,0.0,0.0,0.0,0.0,0.0
20,2030,scenario_1,314.576664,0.0,0.0,0.0,314.576664,1354.870946103557,0.0,0.0,0.0,0.0,0.0
